"WEEK","DATE","STATE","SITE","RRV","TRAP","APIS","ANOE","ACRA","AHEL","APHI","AADJ","CELA","CHIP","CHAE","CHAI","CPOP","ERIO","FORD","HATR","HPRU","HPAL","IZYP","LPSE","MEUP","MTIL","MPER","PEMP","PHUM","PLEO","RSTA","RMAI","RPAD","SGRA","SELE","SAVE","TRIE","TTRI","TULM","UROL","UNID","TOTAL","APUL","DKAN","THRI","MPUN","TYPE","SUBS","ASPI","RRUF","ANAS","GULM","MDIS","TETR","CAEG","MVEN","PPCA","PPRA","PPTR","PSMI","AFAB","AGLY","AGOS","APRU","DACT","HSPI","HLAC","HYPE","MACS","RPOR","RNYM","AMAI","AMAC"
7,1998-08-13,"MN","WILL","Y","4",0,NA,0,0,NA,NA,2,0,NA,NA,0,NA,NA,1,0,0,NA,0,0,NA,0,0,NA,NA,NA,4,1,0,0,0,0,0,NA,0,2,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1998-08-19,"MN","WILL","Y","1",0,NA,0,0,NA,NA,0,1,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,3,2,0,0,1,0,0,NA,0,2,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1998-08-19,"MN","WILL","Y","2",0,NA,0,0,NA,NA,0,1,NA,NA,0,NA,NA,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,3,1,0,0,0,0,0,NA,0,2,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1998-08-19,"MN","WILL","Y","3",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,1,1,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1998-08-19,"MN","WILL","Y","4",0,NA,0,1,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,1,NA,0,0,NA,NA,NA,5,3,0,0,1,0,0,NA,0,3,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1998-08-19,"MN","WILL","Y","1",0,NA,0,16,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,26,2,0,0,0,0,0,NA,0,3,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1998-08-27,"MN","WILL","Y","1",0,NA,0,14,NA,NA,1,1,NA,NA,0,NA,NA,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,2,3,0,0,0,0,0,NA,0,6,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1998-08-27,"MN","WILL","Y","2",0,NA,0,13,NA,NA,0,1,NA,NA,0,NA,NA,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,4,1,0,0,0,0,0,NA,0,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1998-08-27,"MN","WILL","Y","3",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,1,0,NA,2,0,NA,NA,NA,4,3,0,0,0,0,0,NA,0,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1998-08-27,"MN","WILL","Y","4",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,2,NA,1,0,NA,NA,NA,2,1,0,0,0,0,0,NA,0,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
